Disease,Category,Symptoms,Prevention,Risk_Level
Frozen shoulder,Infectious,"Frozen shoulder typically develops slowly in three stages; Freezing stage.Any movement of the shoulder causes pain, and the shoulder's ability to move becomes limited. This stage lasts from 2 to 9 months; Frozen stage.Pain might lessen during this stage. However, the shoulder becomes stiffer. Using it becomes more difficult. This stage lasts from 4 to 12 months; Thawing stage.The shoulder's ability to move begins to improve. This stage lasts from 5 to 24 months; For some people, the pain worsens at night, sometimes disrupting sleep","One of the most common causes of frozen shoulder is not moving a shoulder while recovering from a shoulder injury, broken arm or stroke",Medium
Childhood schizophrenia,Mental Health,"Schizophrenia involves a range of problems with thinking, behavior or emotions; In most people with schizophrenia, symptoms generally start in the mid- to late 20s, though it can start later, up to the mid-30s; Symptoms can vary in type and severity over time, with periods of worsening and remission of symptoms",Early identification and treatment may help get symptoms of childhood schizophrenia under control before serious complications develop,High
Benign adrenal tumors,Cardiovascular,"Symptoms depend on whether the tumor makes hormones, what hormone it makes and how much it makes; The most common type of benign adrenal tumor, called adenoma, comes from the adrenal cortex. This type of tumor might cause symptoms such as:; Weight gain; Easy bruising; High blood pressure, also called hypertension; Diabetes; Depressed mood; Tiredness",,High
Autoimmune encephalitis,Cancer,"Psychiatric symptoms that may include anxiety, panic attacks, changes in behavior, agitation, hallucinations, delusions and trouble organizing thoughts; Trouble with memory; Trouble with language, such as talking less or repeating words or phrases; Movements that are not voluntary; Seizures; Changes in consciousness; Less sleep at the beginning of the disease followed by excess sleep during recovery; Sometimes AE causes serious seizures that need emergency care, known as status epilepticus","Autoimmune encephalitis, also known as AE, can't always be prevented",High
Acute flaccid myelitis (AFM),Neurological,"Other possible signs and symptoms include:; Uncommon symptoms might include:; Severe symptoms involve respiratory failure, due to the muscles involved in breathing becoming weak","There's no specific way to prevent acute flaccid myelitis. However, preventing a viral infection can help reduce the risk of developing acute flaccid myelitis; Take these steps to help protect yourself or your child from getting or spreading a viral infection:",Medium
Dry macular degeneration,Eye,"Visual distortions, such as straight lines seeming bent; Reduced central vision in one or both eyes; The need for brighter light when reading or doing close-up work; Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant or theater; Increased blurriness of printed words; Difficulty recognizing faces; A well-defined blurry spot or blind spot in the field of vision; Dry macular degeneration can affect one or both eyes",Manage all medical conditions; Don't smoke; Maintain a healthy weight and exercise regularly; Choose a diet rich in fruits and vegetables.These foods contain antioxidant vitamins that reduce your risk of developing macular degeneration; Include fish in your diet,High
"Macular degeneration, wet",Eye,"Visual distortions, such as straight lines that seem to be bent; Reduced central vision in one or both eyes; The need for brighter light when reading or doing close-up work; Difficulty adjusting to low light levels, such as when entering a dimly lit restaurant or theater; Increased blurriness of printed words; Difficulty recognizing faces; A well-defined blurry spot or blind spot in the field of vision; Macular degeneration doesn't affect side vision, so it doesn't cause total blindness",Manage all other medical conditions; Don't smoke; Maintain a healthy weight and exercise regularly; Choose a diet rich in fruits and vegetables.These foods contain antioxidant vitamins that reduce your risk of developing macular degeneration; Include fish in your diet,High
Myelofibrosis,Cancer,"Feeling tired, weak or short of breath; Pain or fullness below the ribs on the left side; Easy bruising; Easy bleeding; Sweating a lot while sleeping, so that you wake feeling covered in sweat; Fever; Bone pain; Feeling full after eating a small amount of food",,High
Alcoholic hepatitis,Digestive,"The most common sign of alcoholic hepatitis is yellowing of the skin and whites of the eyes, called jaundice; Other symptoms include:; Loss of appetite; Nausea and vomiting; Belly tenderness; Fever, often low grade; Tiredness and weakness; People with alcoholic hepatitis tend to be malnourished","Drink alcohol in moderation, if at all; Protect yourself from hepatitis C; Check before mixing medicines and alcohol",High
Churg-Strauss syndrome,Respiratory,"Churg-Strauss syndrome varies greatly from person to person. Some people have only mild symptoms. Others have severe or life-threatening complications; Also known as EGPA, the syndrome tends to occur in three stages and gets progressively worse; Other signs and symptoms might include:",,High
Hay fever,Respiratory,"Runny nose and nasal stuffiness, called congestion; Watery, itchy, red eyes; Sneezing; Cough; Itchy nose, roof of mouth or throat; Mucus that runs down the back of the throat, called postnasal drip; Swollen, bruised-appearing skin under the eyes, known as allergic shiners; Extreme tiredness and fatigue, often due to poor sleep",There's no way to avoid getting hay fever,High
Dust mite allergy,Respiratory,"If your dust mite allergy contributes to asthma, you may also experience:; A dust mite allergy can range from mild to severe",,High
Food allergy,Infectious,"For some people, an allergic reaction to a particular food may be uncomfortable but not severe; The most common food allergy symptoms include:; Tingling or itching in the mouth; Hives, itching or eczema; Swelling of the lips, face, tongue, and throat or other parts of the body; Belly pain, diarrhea, nausea or vomiting; Wheezing, nasal congestion or trouble breathing; Dizziness, lightheadedness or fainting",,High
Latex allergy,Infectious,"If you're allergic to latex, you're likely to have symptoms after touching latex rubber products, such as gloves or balloons; Latex allergy symptoms range from mild to serious",,High
Milk allergy,Infectious,"Milk allergy symptoms, which differ from person to person, occur a few minutes to a few hours after you or your child drinks milk or eats milk products; Immediate signs and symptoms of milk allergy might include:; Signs and symptoms that may take more time to develop include:","There's no sure way to prevent a food allergy, but you can prevent reactions by avoiding the food that causes them; Read food labels carefully",High
Mold allergy,Respiratory,Mold allergy symptoms vary from person to person and range from mild to severe,,High
Nickel allergy,Skin,An allergic reaction (contact dermatitis) usually begins within hours to days after exposure to nickel; Nickel allergy signs and symptoms include:,"The best strategy to prevent a nickel allergy from developing is to avoid prolonged exposure to items containing nickel; However, it's not always easy to avoid nickel because it's present in so many products. Home test kits are available to check for nickel in metal items; The following tips may help you avoid nickel exposure:",Low
Peanut allergy,Infectious,"Skin reactions, such as hives, redness or swelling; Itching or tingling in or around the mouth and throat; Digestive problems, such as diarrhea, stomach cramps, nausea or vomiting; Tightening of the throat; Shortness of breath or wheezing; Runny nose",Studies have shown a strong link between early peanut exposure and lower food allergy risk,High
Penicillin allergy,Infectious,"Signs and symptoms of penicillin allergy often occur within an hour after taking the drug. Less commonly, reactions can occur hours, days or weeks later; Penicillin allergy signs and symptoms may include:",,High
Pet allergy,Respiratory,"If your pet allergy contributes to asthma, you may also experience:","If you don't have a pet but are considering adopting or buying one, make sure you don't have pet allergies before making the commitment",High
Shellfish allergy,Infectious,"Hives; Itchy, irritated skin; Nasal stuffiness (congestion); Swelling of the lips, face, tongue and throat, or other parts of the body; Wheezing or trouble breathing; Coughing and choking or a tight feeling in the throat; Belly (abdominal) pain, diarrhea, nausea or vomiting; Dizziness, lightheadedness or fainting","If you have shellfish allergy, the only way to avoid an allergic reaction is to avoid all shellfish and products that contain shellfish",High
Hair loss,Infectious,"Hair loss can appear in many different ways, depending on what's causing it. It can come on suddenly or gradually and affect just your scalp or your whole body; Signs and symptoms of hair loss may include:; Gradual thinning on top of head; Circular or patchy bald spots; Sudden loosening of hair; Full-body hair loss; Patches of scaling that spread over the scalp.This is a sign of ringworm. It may be accompanied by broken hair, redness, swelling and, at times, oozing","Most baldness is caused by genetics (male-pattern baldness and female-pattern baldness). This type of hair loss is not preventable; These tips may help you avoid preventable types of hair loss:; Be gentle with your hair; Ask your doctor about medications and supplements you take that might cause hair loss; Protect your hair from sunlight and other sources of ultraviolet light; Stop smoking. Some studies show an association between smoking and baldness in men; If you're being treated with chemotherapy, ask your doctor about a cooling cap. This cap can reduce your risk of losing hair during chemotherapy",Low
Amyotrophic lateral sclerosis (ALS),Neurological,"Trouble walking or doing usual daily activities; Tripping and falling; Weakness in the legs, feet or ankles; Hand weakness or clumsiness; Slurred speech or trouble swallowing; Weakness associated with muscle cramps and twitching in the arms, shoulders and tongue; Untimely crying, laughing or yawning; Thinking or behavioral changes",,High
Dry socket,Neurological,"Severe pain within a few days after removing a tooth; Loss of part or all of the blood clot at the tooth removal site. The socket may look empty; Bone that you can see in the socket; Pain that spreads from the socket to your ear, eye, temple or neck on the same side of your face as the tooth removal; Bad breath or a foul odor coming from your mouth; Bad taste in your mouth",,Medium
Atypical genitalia,Endocrine,"Your medical team will likely be the first to notice atypical genitalia soon after your baby is born; Babies who are genetically female, which means they have two X chromosomes, may have:; An enlarged clitoris, which may look like a penis; Closed labia, or labia that include folds and look like a scrotum; Lumps that feel like testicles in the fused labia; Babies who are genetically male, which means they have one X and one Y chromosome, may have:; A condition in which the narrow tube that carries urine and semen, called the urethra, doesn't fully extend to the tip of the penis; A very small penis with the urethral opening closer to the scrotum",,High
Lazy eye (amblyopia),Eye,Sometimes lazy eye is not evident without an eye exam,,Medium
Chagas disease,Cardiovascular,"Chagas disease can cause a sudden, brief illness",,Medium
Transient global amnesia,Cardiovascular,"The main symptom of transient global amnesia is being unable to create new memories and remember the recent past; You must have these signs and symptoms to be diagnosed with transient global amnesia:; More symptoms and history that may help diagnose transient global amnesia:; Another common sign of transient global amnesia due to the inability to create new memories includes repetitive questioning, usually of the same question — for example, ""What am I doing here?"" or ""How did we get here?""","Because the cause of transient global amnesia is unknown and the rate of recurrence is low, there's no real way to prevent the condition",High
Amnesia,Neurological,"Trouble learning new information; Trouble remembering past events and previously familiar information; Most people with amnesia have problems with short-term memory, so they can't retain new information; For example, people may recall experiences from childhood or know the names of past presidents; Isolated memory loss doesn't affect a person's intelligence, general knowledge, awareness or attention span; Amnesia isn't the same as dementia; Memory loss also is a common symptom of mild cognitive impairment",Don't drink large amounts of alcohol; Wear a helmet when bicycling and a seat belt when driving; Treat infections quickly so that they don't have a chance to spread to the brain; Get immediate medical treatment if you have symptoms that suggest a stroke or brain aneurysm,High
Amyloidosis,Cardiovascular,"You may not experience symptoms of amyloidosis until later in the course of the disease. Symptoms may vary, depending on which organs are affected; Signs and symptoms of amyloidosis may include:; Severe fatigue and weakness; Shortness of breath; Numbness, tingling, or pain in the hands or feet; Swelling of the ankles and legs; Diarrhea, possibly with blood, or constipation; An enlarged tongue, which sometimes looks rippled around its edge",,High
Aplastic anemia,Infectious,"Aplastic anemia can be short-lived, or it can become chronic. It can be serious and even fatal",There's no known prevention for most cases of aplastic anemia,High
Thalassemia,Blood,There are different types of thalassemia. The symptoms that you have depend on the type and how serious it is; Symptoms of severe thalassemia can include:; Some babies show symptoms of thalassemia at birth. Others get symptoms during the first two years of life. But some people with thalassemia don't have symptoms,"Most of the time, you can't prevent thalassemia; Some people with thalassemia major think about getting pregnant with assisted reproductive technology; Another procedure that might lead to pregnancy is called intrauterine insemination",High
Iron deficiency anemia,Blood,"Initially, iron deficiency anemia can be so mild that it goes unnoticed; Iron deficiency anemia signs and symptoms may include:",You can reduce your risk of iron deficiency anemia by choosing iron-rich foods,High
Sickle cell anemia,Infectious,"Episodes of pain; The pain varies in intensity and can last for a few hours to a few days; Some people with sickle cell anemia also have chronic pain from bone and joint damage, ulcers, and other causes","If you carry the sickle cell trait, it can help to see a genetic counselor before you get pregnant",High
Abdominal aortic aneurysm,Cardiovascular,"Abdominal aortic aneurysms often grow slowly; If you have an abdominal aortic aneurysm that's getting bigger, symptoms might include:; Deep, constant pain in the belly area or side of the belly; Back pain; A throbbing or pulsing feeling near the belly button",Don't smoke or use tobacco products; Eat a healthy diet; Keep your blood pressure and cholesterol under control.Take medicines as directed; Get regular exercise and stay active,High
Brain aneurysm,Cardiovascular,"Most brain aneurysms that haven't ruptured don't cause symptoms, especially if they're small; If an aneurysm ruptures, this is a very serious condition, typically causing a severe headache","In many cases, brain aneurysms can't be prevented",High
Popliteal artery aneurysm,Cardiovascular,Knee pain; Lower leg pain; Swelling behind the knee; Pulsing feeling behind the knee,Smoking and high blood pressure increase the risk of blood vessel problems that can lead to popliteal artery and other aneurysms; Try these heart-healthy tips:; Do not smoke; Eat a nutritious diet; Get regular exercise,High
Thoracic aortic aneurysm,Cardiovascular,"Thoracic aortic aneurysms often grow slowly; As a thoracic aortic aneurysm grows, symptoms may include:; Back pain; Cough; Weak, scratchy voice; Shortness of breath; Tenderness or pain in the chest; Symptoms that a thoracic aortic aneurysm has ruptured or caused a tear called an aortic dissection include:","To prevent an aneurysm, keep the blood vessels as healthy as possible. Try these healthy lifestyle tips; Don't smoke or use tobacco; Control blood pressure and cholesterol levels; Keep a healthy weight and stay active; Eat nutritious foods",High
Vasculitis,Cardiovascular,"Fever; Headache; Tiredness; Weight loss; Aches and pains; Other symptoms depend on the parts of the body affected:; Digestive system; Ears.Dizziness, ringing in the ears and sudden hearing loss may happen",,Medium
Angina,Cardiovascular,"Burning; Fullness; Pressure; Squeezing; Pain also may be felt in the arms, neck, jaw, shoulder or back; Other symptoms of angina include:; Dizziness; Fatigue",Avoid or limit alcohol; Don't smoke; Eat a healthy diet; Exercise regularly; Maintain a healthy weight; Manage other health conditions related to heart disease; Reduce stress; Get 7 to 9 hours of sleep a day,High
Castleman disease,Neurological,Many people with unicentric Castleman disease don't notice any signs or symptoms; Some people with unicentric Castleman disease might have signs and symptoms that are more often seen in multicentric Castleman disease. These may include:,,High
Sprained ankle,Musculoskeletal,"Pain, especially when you bear weight on the affected foot; Tenderness when you touch the ankle; Swelling; Bruising; Restricted range of motion; Instability in the ankle; Popping sensation or sound at the time of injury","Warm up before you exercise or play sports; Be careful when walking, running or working on an uneven surface; Use an ankle support brace or tape on a weak or previously injured ankle; Wear shoes that fit well and are made for your activity; Minimize wearing high-heeled shoes; Don't play sports or participate in activities for which you are not conditioned; Maintain good muscle strength and flexibility; Practice stability training, including balance exercises",High
Tongue-tie (ankyloglossia),Infectious,Difficulty lifting the tongue to the upper teeth or moving the tongue from side to side; Trouble sticking out the tongue past the lower front teeth; A tongue that appears notched or heart shaped when stuck out,,Low
Anorexia nervosa,Cardiovascular,The physical and behavioral symptoms of anorexia nervosa relate to how starvation affects the brain,"There's no guaranteed way to prevent anorexia nervosa; If you notice that people have dieting habits that seem too rigid, or they're unhappy with their appearance, think about talking to them about these issues; Examples of organizations that offer support for caregivers, friends and family members of people with eating disorders include the National Eating Disorders Association (NEDA) and Families Empowered and Supporting Treatment for Eating Disorders (F",High
ACL injury,Musculoskeletal,"A loud pop or a ""popping"" sensation in the knee; Severe pain and inability to continue activity; Rapid swelling; Loss of range of motion; A feeling of instability or ""giving way"" with weight bearing","Proper training and exercise can help reduce the risk ofACLinjury; Programs to reduceACLinjury include:; Exercises to strengthen the core — including the hips, pelvis and lower abdomen — with a goal of training athletes to avoid moving the knee inward during a squat; Exercises that strengthen leg muscles, particularly hamstring exercises, to ensure an overall balance in leg muscle strength; Training and exercise emphasizing proper technique and knee position when jumping and landing from jumps; Training to improve technique when performing pivoting and cutting movements; Training to strengthen muscles of the legs, hips and core — as well as training to improve jumping and landing techniques and to prevent inward movement of the knee — may help to reduce the higherACLinjury risk in female athletes",Medium
Anterior vaginal prolapse (cystocele),Respiratory,"A feeling of fullness or pressure in the pelvis and vagina; A bulge of tissue in the vagina that you can see or feel; More pelvic pressure when you strain, cough, bear down or lift objects; Problems urinating; You may notice symptoms more after standing for long periods. Symptoms may go away when you lie down",,Medium
Pseudomembranous colitis,Digestive,"Symptoms of pseudomembranous colitis can begin as soon as 1 to 2 days after you start taking an antibiotic, or as long as several months or longer after you finish taking the antibiotic",To help prevent the spread of Clostridioides difficile (C; Preventive measures include:,High
Generalized anxiety disorder,Mental Health,"Persistent worrying or anxiety about a number of areas that are out of proportion to the impact of the events; Overthinking plans and solutions to all possible worst-case outcomes; Perceiving situations and events as threatening, even when they aren't; Difficulty handling uncertainty; Indecisiveness and fear of making the wrong decision; Inability to set aside or let go of a worry; Inability to relax, feeling restless, and feeling keyed up or on edge; Difficulty concentrating, or the feeling that your mind ""goes blank""","Get help early.Anxiety, like many other mental health conditions, can be harder to treat if you wait; Keep a journal; Prioritize issues in your life.You can reduce anxiety by carefully managing your time and energy; Avoid unhealthy substance use",Medium
Social anxiety disorder (social phobia),Mental Health,"Feelings of shyness or discomfort in certain situations aren't necessarily signs of social anxiety disorder, particularly in children; In contrast to everyday nervousness, social anxiety disorder includes fear, anxiety and avoidance that interfere with relationships, daily routines, work, school or other activities; Signs and symptoms of social anxiety disorder can include constant:; Fear of situations in which you may be judged negatively; Worry about embarrassing or humiliating yourself; Intense fear of interacting or talking with strangers; Fear that others will notice that you look anxious; Fear of physical symptoms that may cause you embarrassment, such as blushing, sweating, trembling or having a shaky voice","Get help early.Anxiety, like many other mental health conditions, can be harder to treat if you wait; Keep a journal; Set priorities in your life.You can reduce anxiety by carefully managing your time and energy. Make sure that you spend time doing things you enjoy; Avoid unhealthy substance use",High
Coarctation of the aorta,Cardiovascular,"Symptoms of coarctation of the aorta depend on how much of the aorta is narrowed. Most people don't have symptoms; Adults and older children with mild coarctation of the aorta may not have symptoms and their hearts may seem healthy; If a baby is born with an extreme narrowing of the aorta, symptoms may be noticed shortly after birth. Symptoms of coarctation of the aorta in infants include:; Difficulty breathing; Difficulty feeding; Heavy sweating; Irritability; Changes in skin color",There's no known way to prevent coarctation of the aorta. Tell your healthcare team if you have a family history of heart conditions present at birth,High
Aortic valve regurgitation,Cardiovascular,"Most often, aortic valve regurgitation develops over time; As aortic valve regurgitation becomes worse, symptoms may include:; Shortness of breath with exercise or when lying down; Tiredness and weakness, especially when being more active than usual; Irregular heartbeat; Lightheadedness or fainting; Pain, discomfort or tightness in the chest, which often gets worse during exercise; Sensations of a rapid, fluttering heartbeat, called palpitations","If you have any type of heart disease, get regular health checkups; If you have a parent, child or sibling with a bicuspid aortic valve, you should have an imaging test called an echocardiogram; Also, take steps to prevent conditions that can raise the risk of aortic valve regurgitation. For example:; Get a health checkup if you have a severe sore throat; Check your blood pressure regularly.Have your blood pressure checked at least every two years starting at age 18. Some people need more-frequent checks",High
Auditory processing disorder,Neurological,Telling where sound is coming from; Understanding words that are spoken quickly or in a noisy room; Paying attention; Reading and spelling; Following directions unless they are short and simple; Learning a new language; Singing or enjoying music; Understanding and remembering spoken information,,Medium
Primary progressive aphasia,Neurological,Primary progressive aphasia symptoms vary based on which part of the brain's language areas are involved,Get quality sleep; Reduce stress; Open connections; Work out; Try new things; Healthy eating,High
Canker sore,Respiratory,"Most canker sores are round or oval with a white or yellow center and a red border; There are several types of canker sores, including minor, major and herpetiform sores","Watch what you eat; Choose healthy foods.To help prevent nutritional deficiencies, eat plenty of fruits, vegetables and whole grains; Follow good oral hygiene habits; Protect your mouth.If you have braces or other dental appliances, ask your dentist about orthodontic waxes to cover sharp edges; Reduce your stress.If your canker sores seem to be related to stress, learn and use stress-reduction techniques, such as meditation and guided imagery",Low
Broken heart syndrome,Cardiovascular,Chest pain; Shortness of breath,"To prevent another episode of broken heart syndrome, many healthcare professionals recommend long-term treatment with beta blockers or similar medicines; Having chronic stress may increase the risk of broken heart syndrome; Get more exercise; Practice mindfulness; Connect with others in support groups",High
Antiphospholipid syndrome,Cardiovascular,Less common signs and symptoms include:,,High
Viral hemorrhagic fevers,Infectious,"Fever; Tiredness, weakness or feeling unwell; Muscle, bone or joint aches; Nausea and vomiting; Diarrhea",It can be hard to prevent viral hemorrhagic fevers,High
Broken arm,Musculoskeletal,"Severe pain, which might increase with movement; Swelling; Bruising; Deformity, such as a bent arm or wrist; Inability to turn your arm from palm up to palm down or vice versa","Although it's impossible to prevent an accident, these tips might offer some protection against bone breakage; Eat for bone strength; Exercise for bone strength; Prevent falls; Use protective gear.Wear wrist guards for high-risk activities, such as in-line skating, snowboarding, rugby and football; Don't smoke.Smoking can increase your risk of a broken arm by reducing bone mass. It also hampers healing of fractures",High
Chiari malformation,Neurological,"Many people with Chiari malformation have no symptoms and don't need treatment; The more common types of Chiari malformation are:; Type 1; Type 2; These types are less serious than the rarer pediatric form, type 3. But symptoms still can disrupt life",,Medium
Heart arrhythmia,Cardiovascular,"A heart arrhythmia may not cause any symptoms. The irregular heartbeat may be noticed during a health checkup for another reason; Symptoms of an arrhythmia may include:; A fluttering, pounding or racing feeling in the chest; A fast heartbeat; A slow heartbeat; Chest pain; Shortness of breath; Other symptoms may include:","Don't smoke; Eat a diet that's low in salt and saturated fat; Exercise at least 30 minutes a day on most days of the week; Maintain a healthy weight; Reduce and manage stress; Control high blood pressure, high cholesterol and diabetes; Get good sleep. Adults should aim for 7 to 9 hours daily; Limit or avoid caffeine and alcohol",High
Giant cell arteritis,Cardiovascular,"The most common symptoms of giant cell arteritis are head pain and tenderness — often severe — that usually affects both temples; Generally, signs and symptoms of giant cell arteritis include:; Persistent, severe head pain, usually in your temple area; Scalp tenderness; Jaw pain when you chew or open your mouth wide; Fever; Fatigue; Unintended weight loss",,High
Takayasu's arteritis,Cardiovascular,The signs and symptoms of Takayasu's arteritis often occur in two stages,,High
Thumb arthritis,Musculoskeletal,"Pain is the first and most common symptom of thumb arthritis; Other signs and symptoms might include:; Swelling, stiffness and tenderness at the base of your thumb; Decreased strength when pinching or grasping objects; Decreased range of motion; Enlarged or bony appearance of the joint at the base of your thumb",,High
